Name,Organization,Date,Location,Profile Link
Ahmed Adam,Al-Mada,"May 15, 2005",Iraq,https://cpj.org/data/people/ahmed-adam/
Ahmed Addow Anshur,Shabelle Media Network,"May 24, 2012",Somalia,https://cpj.org/data/people/ahmed-addow-anshur/
Ahmed Adnan al-Ashlaq,Shaam News Network,"May 27, 2012",Syria,https://cpj.org/data/people/ahmed-adnan-al-ashlaq/
Ahmed Al Shayyah,Freelance,"January 15, 2025",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-al-shayyah/
Ahmed al-Assam,Freelance,"May 28, 2012",Syria,https://cpj.org/data/people/ahmed-al-assam/
Ahmed Al-Louh,"freelance reporter,Al Jazeera","December 15, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-al-louh/
Ahmed Al-Qara,Freelance,"November 10, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-al-qara/
Ahmed al-Rubai'i,Al-Sabah,"mid-April, 2005",Iraq,https://cpj.org/data/people/ahmed-al-rubaii/
Ahmed al-Shaibani,"Yaman News, Yemen TV","February 16, 2016",Yemen,https://cpj.org/data/people/ahmed-al-shaibani/
Ahmed Assem el-Senousy,Freedom and Justice,"July 8, 2013",Egypt,https://cpj.org/data/people/ahmed-assem-el-senousy/
Ahmed Azize,Aleppo News Network,"August 10, 2018",Syria,https://cpj.org/data/people/ahmed-azize/
Ahmed Bdeir,Bawabat al-Hadaf,"January 10, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-bdeir/
Ahmed Farah Ilyas,Universal TV,"October 23, 2012",Somalia,https://cpj.org/data/people/ahmed-farah-ilyas/
Ahmed Hadi Naji,Associated Press Television News,"January 5, 2007",Iraq,https://cpj.org/data/people/ahmed-hadi-naji/
Ahmed Haidar,Al-Manar Television,"July 26, 1993",Lebanon,https://cpj.org/data/people/ahmed-haidar/
Ahmed Hasan Ahmed,Xinhua News Agency,"June 20, 2014",Syria,https://cpj.org/data/people/ahmed-hasan-ahmed/
Ahmed Hassan Mahad,Radio Jowhar,"May 16, 2007",Somalia,https://cpj.org/data/people/ahmed-hassan-mahad/
Ahmed Hussein Al-Maliki,Talafar al-Yawm,"November 7, 2005",Iraq,https://cpj.org/data/people/ahmed-hussein-al-maliki/
Ahmed Hussein-Suale Divela,Tiger Eye Private Investigations,"January 16, 2019",Ghana,https://cpj.org/data/people/ahmed-hussein-suale-divela/
Ahmed Ismail Hassan,Freelance,"March 31, 2012",Bahrain,https://cpj.org/data/people/ahmed-ismail-hassan/
Ahmed Issaad,Algerian Television,"November 30, 1994",Algeria,https://cpj.org/data/people/ahmed-issaad/
Ahmed Jabbar Hashim,Al-Sabah,"April 1, 2005",Iraq,https://cpj.org/data/people/ahmed-jabbar-hashim/
Ahmed Kafi Awale,Radio of the Somali People,"January 26, 2000",Somalia,https://cpj.org/data/people/ahmed-kafi-awale/
Ahmed Khaireddine,Quds Al-Youm TV,"December 28, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-khaireddine/
Ahmed Mohamed al-Mousa,Raqqa is Being Slaughtered Silently,"December 16, 2015",Syria,https://cpj.org/data/people/ahmed-mohamed-al-mousa/
Ahmed Mohamed Shukur,Somali National TV,"September 30, 2022",Somalia,https://cpj.org/data/people/ahmed-mohamed-shukur/
Ahmed Muhana al-Lami,Freelance,"December 6, 2019",Iraq,https://cpj.org/data/people/ahmed-muhana-al-lami/
Ahmed Rajib Haider,Freelance,"February 15, 2013",Bangladesh,https://cpj.org/data/people/ahmed-rajib-haider/
Ahmed Rilwan Abdulla,Minivan News,"August 8, 2014",Maldives,https://cpj.org/data/people/ahmed-rilwan-abdulla/
Ahmed Riyadh al-Karbouli,Baghdad TV,"September 18, 2006",Iraq,https://cpj.org/data/people/ahmed-riyadh-al-karbouli/
Ahmed Salim,Al-Sharqiya,"September 13, 2008",Iraq,https://cpj.org/data/people/ahmed-salim/
Ahmed Shawkat,Bilah Ittijah,"October 28, 2003",Iraq,https://cpj.org/data/people/ahmed-shawkat/
Ahmed Shehab,Sowt Al-Asra Radio (Radio Voice of the Prisoners),"October 12, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-shehab/
Ahmed Wael Bakri,Al-Sharqiyah,"June 28, 2005",Iraq,https://cpj.org/data/people/ahmed-wael-bakri/
Ahmet Haceroğlu,Türkmeneli TV,"October 21, 2016",Iraq,https://cpj.org/data/people/ahmet-haceroglu/
Ahmet Taner Kislali,Cumhuriyet,"October 21, 1999",Turkey,https://cpj.org/data/people/ahmet-taner-kislali/
Aiyathurai Nadesan,Virakesari,"May 31, 2004",Sri Lanka,https://cpj.org/data/people/aiyathurai-nadesan/
Ajmal Naqshbandi,freelance,"April 8, 2007",Afghanistan,https://cpj.org/data/people/ajmal-naqshbandi/
Akhmednabi Akhmednabiyev,Novoye Delo,"July 9, 2013",Russia,https://cpj.org/data/people/akhmednabi-akhmednabiyev/
Akram ElShafie,Safa,"January 5, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/akram-elshafie/
Al-Hosseiny Abou Deif,El-Fagr,"December 12, 2012",Egypt,https://cpj.org/data/people/al-hosseiny-abou-deif/
Al-Moutaz Bellah Ibrahim,Shaam News Network,"May 4, 2014",Syria,https://cpj.org/data/people/al-moutaz-bellah-ibrahim/
Alaa Abdel-Wahab,Al-Baghdadia TV,"May 31, 2009",Iraq,https://cpj.org/data/people/alaa-abdel-wahab/
Alaa Abdul-Karim al-Fartoosi,Al-Forat,"January 29, 2008",Iraq,https://cpj.org/data/people/alaa-abdul-karim-al-fartoosi/
Alaa Al-Hams,SND,"February 12, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/alaa-al-hams/
Alaa Edward Butros,Freelance,"November 24, 2013",Iraq,https://cpj.org/data/people/alaa-edward-butros/
Alaa Kraym (Mohammed al-Qabouni),Qaboun Media Center,"May 4, 2017",Syria,https://cpj.org/data/people/alaa-kraym-mohammed-al-qabouni/
Alaa Nayef al-Khader al-Khalidi,Douma Coordination Office,"Between September 2016 and July 12, 2019",Syria,https://cpj.org/data/people/alaa-nayef-al-khader-al-khalidi/
Alaa Uldeen Aziz,ABC News,"May 17, 2007",Iraq,https://cpj.org/data/people/alaa-uldeen-aziz/
Alberto Graves Chakussanga,Radio Despertar,"September 5, 2010",Angola,https://cpj.org/data/people/alberto-graves-chakussanga/
Alberto Rivera Fernández,Frecuencia Oriental,"April 12, 2004",Peru,https://cpj.org/data/people/alberto-rivera-fernandez/
Albino Sibia (Mano Shottas),Freelance,"December 12, 2024",Mozambique,https://cpj.org/data/people/albino-sibia-mano-shottas/
Aleh Byabenin,Charter 97,"September 3, 2010",Belarus,https://cpj.org/data/people/aleh-byabenin/
Alejandro Pérez,Channel 2-Frequencia Latina TV,"June 5, 1992",Peru,https://cpj.org/data/people/alejandro-perez/
Alejandro Reblando,Manila Bulletin,"November 23, 2009",Philippines,https://cpj.org/data/people/alejandro-reblando/
Alejandro Zenón Fonseca Estrada,EXA FM,"September 24, 2008",Mexico,https://cpj.org/data/people/alejandro-zenon-fonseca-estrada/
Aleksandr Rastorguyev,The Investigations Management Centre (TsUR),"July 30, 2018",Central African Republic,https://cpj.org/data/people/aleksandr-rastorguyev/
Aleksandr Sidelnikov,Lennauchfilm Studio,"October 4, 1993",Russia,https://cpj.org/data/people/aleksandr-sidelnikov/
Aleksandr Smirnov,Molodyozhny Kuryer,"October 4, 1993",Russia,https://cpj.org/data/people/aleksandr-smirnov/
Aleksandr Yefremov,Nashe Vremya,"May 12, 2000",Russia,https://cpj.org/data/people/aleksandr-yefremov/
Aleksei Sidorov,Tolyatinskoye Obozreniye,"October 9, 2003",Russia,https://cpj.org/data/people/aleksei-sidorov/
Alessandro Otta,RAI-TV,"January 28, 1994",Bosnia,https://cpj.org/data/people/alessandro-otta/
Alexander Klimchuk,Caucasus Images,"August 10, 2008",Georgia,https://cpj.org/data/people/alexander-klimchuk/
Alexandra Tuttle,The Wall Street Journal,"September 22, 1993",Georgia,https://cpj.org/data/people/alexandra-tuttle/
Alexis Bandyatuyaga,National Radio and Television of Burundi,"September 14, 1994",Burundi,https://cpj.org/data/people/alexis-bandyatuyaga/
Alfonso Margarito Martínez Esquivel,Freelance,"January 17, 2022",Mexico,https://cpj.org/data/people/alfonso-margarito-martinez-esquivel/
Alfredo Abad López,La Voz de la Selva,"December 13, 2000",Colombia,https://cpj.org/data/people/alfredo-abad-lopez/
Alfredo Antonio Hurtado Núñez,Canal 33,"April 25, 2011",El Salvador,https://cpj.org/data/people/alfredo-antonio-hurtado-nunez/
Alfredo Cardoso Echeverría,Las Dos Costas,"October 31, 2021",Mexico,https://cpj.org/data/people/alfredo-cardoso-echeverria/
Alfrets Mirulewan,Pelangi Weekly,"December 17, 2010",Indonesia,https://cpj.org/data/people/alfrets-mirulewan/
AlHassan Hamad,"Freelance,Al Jazeera,Media Town TV","October 6, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/alhassan-hamad/
Ali Abbas,SANA,"August 11, 2012",Syria,https://cpj.org/data/people/ali-abbas/
Ali Abboud,Radio Chaine 1,"January 7, 1995",Algeria,https://cpj.org/data/people/ali-abboud/
Ali Abdel Aziz,Al-Arabiya,"March 18, 2004",Iraq,https://cpj.org/data/people/ali-abdel-aziz/
Ali Ahmed Abdi,Freelance,"March 4, 2012",Somalia,https://cpj.org/data/people/ali-ahmed-abdi/
Ali al-Khatib,Al-Arabiya,"March 19, 2004",Iraq,https://cpj.org/data/people/ali-al-khatib/
Ali Boukerbache,Media-TV,"March 21, 1995",Algeria,https://cpj.org/data/people/ali-boukerbache/
Ali Hassan al-Jaber,Al-Jazeera,"March 13, 2011",Libya,https://cpj.org/data/people/ali-hassan-al-jaber/
Ali Ibrahim Issa,Al-Hurriya,"April 14, 2005",Iraq,https://cpj.org/data/people/ali-ibrahim-issa/
Ali Jaafar,Al-Iraqiya,"May 31, 2006",Iraq,https://cpj.org/data/people/ali-jaafar/
Ali Mahmoud Othman,Freelance,"December 30, 2013",Syria,https://cpj.org/data/people/ali-mahmoud-othman/
Ali Mahmud,Al-Ghadeer TV,"July 13, 2016",Iraq,https://cpj.org/data/people/ali-mahmud/
Ali Mustafa,Freelance,"March 9, 2014",Syria,https://cpj.org/data/people/ali-mustafa/
Ali Nur Siad,Voice of America,"October 14, 2017",Somalia,https://cpj.org/data/people/ali-nur-siad/
Ali Risan,Al-Sumaria TV,"October 22, 2016",Iraq,https://cpj.org/data/people/ali-risan/
Ali Saleemi,Mashal TV,"April 30, 2018",Afghanistan,https://cpj.org/data/people/ali-saleemi/
Ali Shaaban,Al-Jadeed,"April 9, 2012",Lebanon,https://cpj.org/data/people/ali-shaaban/
Ali Sharmarke,HornAfrik,"August 11, 2007",Somalia,https://cpj.org/data/people/ali-sharmarke/
Alisher Saipov,Siyosat,"October 24, 2007",Kyrgyzstan,https://cpj.org/data/people/alisher-saipov/
Alison Parker,WDBJ7,"August 26, 2015",USA,https://cpj.org/data/people/alison-parker/
Allah Noor,Khyber TV,"February 7, 2005",Pakistan,https://cpj.org/data/people/allah-noor/
Allaoua Ait M'barak,Le Soir d'Algérie,"February 11, 1996",Algeria,https://cpj.org/data/people/allaoua-ait-mbarak/
Almigdad Mojalli,Freelance,"January 17, 2016",Yemen,https://cpj.org/data/people/almigdad-mojalli/
Aloys Nyimbuzi,L'Observateur,"April 7, 1994",Rwanda,https://cpj.org/data/people/aloys-nyimbuzi/
Alpha Amadu Bah,Independent Observer,"January 17, 1999",Sierra Leone,https://cpj.org/data/people/alpha-amadu-bah/
Altaf Ahmed Faktoo,Doordarshan TV,"January 1, 1997",India,https://cpj.org/data/people/altaf-ahmed-faktoo/
Alwan al-Ghorabi,Afaq,"June 21, 2011",Iraq,https://cpj.org/data/people/alwan-al-ghorabi/
Amado Ramírez Dillanes,Televisa and Radiorama,"April 6, 2007",Mexico,https://cpj.org/data/people/amado-ramirez-dillanes/
Amal Zohud,Freelance,"November 18, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/amal-zohud/
Amer Diab,Freelance,"March 29, 2013",Syria,https://cpj.org/data/people/amer-diab/
Amer Malallah al-Rashidi,Al-Mosuliya,"September 3, 2007",Iraq,https://cpj.org/data/people/amer-malallah-al-rashidi/
Ameur Ouagueni,Le Matin,"August 20, 1995",Algeria,https://cpj.org/data/people/ameur-ouagueni/
Amir Nowab,Associated Press Television News and Frontier Post,"February 7, 2005",Pakistan,https://cpj.org/data/people/amir-nowab/
Amjad Anas Aktalati,Freelance,"February 4, 2020",Syria,https://cpj.org/data/people/amjad-anas-aktalati/
Amjad Hameed,Al-Iraqiya,"March 11, 2006",Iraq,https://cpj.org/data/people/amjad-hameed/
Amjad Hassan Bakir,Saraqib al-Hadath,"June 18, 2019",Syria,https://cpj.org/data/people/amjad-hassan-bakir/
Amjad Juhjouh,Freelance,"July 6, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/amjad-juhjouh/
Ammar al-Shami,Qasioun News,"May 31, 2015",Syria,https://cpj.org/data/people/ammar-al-shami/
Ammar Mohamed Suhail Zado,Shaam News Network,"May 27, 2012",Syria,https://cpj.org/data/people/ammar-mohamed-suhail-zado/
Amparo Leonor Jiménez Pallares,"""QAP"" and ""En Vivo""","August 11, 1998",Colombia,https://cpj.org/data/people/amparo-leonor-jimenez-pallares/
Amr Abu Odeh,Freelance,"October 31, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/amr-abu-odeh/
Amr Badir al-Deen Junaid,Qaboun Media Center,"March 10, 2013",Syria,https://cpj.org/data/people/amr-badir-al-deen-junaid/
Anak Agung Prabangsa,Radar Bali,"February 11, 2009",Indonesia,https://cpj.org/data/people/anak-agung-prabangsa/
Ananta Bijoy Das,Freelance,"May 12, 2015",Bangladesh,https://cpj.org/data/people/ananta-bijoy-das/
Anas al-Dyab,Freelance,"July 21, 2019",Syria,https://cpj.org/data/people/anas-al-dyab/
Anas al-Tarsha,Freelance,"February 24, 2012",Syria,https://cpj.org/data/people/anas-al-tarsha/
Anas Alkharboutli,dpa,"December 4, 2024",Syria,https://cpj.org/data/people/anas-alkharboutli/
Anastase Seruvumba,Imbaga,"April 29, 1994",Rwanda,https://cpj.org/data/people/anastase-seruvumba/
Anastasiya Baburova,Novaya Gazeta,"January 19, 2009",Russia,https://cpj.org/data/people/anastasiya-baburova/
Anatoly Klyan,Pervy Kanal,"June 30, 2014",Ukraine,https://cpj.org/data/people/anatoly-klyan/
Anatoly Levin-Utkin,Yuridichesky Peterburg Segodnya,"August 24, 1998",Russia,https://cpj.org/data/people/anatoly-levin-utkin/
Ando Ratovonirina,Radio Télévision Analamanga,"February 7, 2009",Madagascar,https://cpj.org/data/people/ando-ratovonirina/
André Kameya,Rwanda Rushya,"April-June, 1994",Rwanda,https://cpj.org/data/people/andre-kameya/
Andrea Rocchelli,Cesura photo agency,"May 24, 2014",Ukraine,https://cpj.org/data/people/andrea-rocchelli/
Andrei Soloviev,ITAR-TASS,"September 27, 1993",Georgia,https://cpj.org/data/people/andrei-soloviev/
Andrei Stenin,Rossiya Segodnya,"August 6, 2014",Ukraine,https://cpj.org/data/people/andrei-stenin/
Andres Teodoro,Central Mindanao Inquirer,"November 23, 2009",Philippines,https://cpj.org/data/people/andres-teodoro/
Angam Ahmad Edwan,February,"February 12, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/angam-ahmad-edwan/
